"chunk_schema",           "chunk_name",        "range_start",            "range_end","chunk_size"
"_timescaledb_internal","_hyper_13_299_chunk","2025-12-20 01:00:00+01","2025-12-21 01:00:00+01","5536 kB"
"_timescaledb_internal","_hyper_13_300_chunk","2025-12-21 01:00:00+01","2025-12-22 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_301_chunk","2025-12-22 01:00:00+01","2025-12-23 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_302_chunk","2025-12-23 01:00:00+01","2025-12-24 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_303_chunk","2025-12-24 01:00:00+01","2025-12-25 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_304_chunk","2025-12-25 01:00:00+01","2025-12-26 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_305_chunk","2025-12-26 01:00:00+01","2025-12-27 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_306_chunk","2025-12-27 01:00:00+01","2025-12-28 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_307_chunk","2025-12-28 01:00:00+01","2025-12-29 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_308_chunk","2025-12-29 01:00:00+01","2025-12-30 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_309_chunk","2025-12-30 01:00:00+01","2025-12-31 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_310_chunk","2025-12-31 01:00:00+01","2026-01-01 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_311_chunk","2026-01-01 01:00:00+01","2026-01-02 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_312_chunk","2026-01-02 01:00:00+01","2026-01-03 01:00:00+01","23 MB"
"_timescaledb_internal","_hyper_13_313_chunk","2026-01-03 01:00:00+01","2026-01-04 01:00:00+01","17 MB"
